零件名称,编号,中心线半径_mm,管外径_mm,起端直段_mm,末端直段_mm,中心线长度_mm,结果
空气管路059｜BPV-101·阴极背压阀—阴极排气接口,Pipe059,69.0,46,94.009,32.739,648.039,通过本次几何基线
主冷却液管路017｜TV-302·散热旁通三通—R-301·侧水室与框架·前后通风,Pipe017,39.0,26,161.356,32.126,477.335,通过本次几何基线
主冷却液管路024｜CH-301·主液热供分配—HX-201·双壁氢伴热器,Pipe024,39.0,26,101.385,32.179,482.091,通过本次几何基线
主冷却液管路013｜STK-101·70节电堆·端板拉杆—CH-301·主液热供分配,Pipe013,39.0,26,44.348,117.785,563.01,通过本次几何基线
主冷却液管路016｜HX-301·双壁液液隔离—TV-302·散热旁通三通,Pipe016,39.0,26,62.31,41.764,527.109,通过本次几何基线
主冷却液管路034｜TV-301·余热分配三通—TV-302·散热旁通三通,Pipe034,39.0,26,290.346,171.266,740.656,通过本次几何基线
主冷却液管路019｜TK-301·独立主路膨胀罐—CR-301·主液回流汇集,Pipe019,39.0,26,41.956,91.048,880.758,通过本次几何基线
主冷却液管路028｜CH-301·主液热供分配—DI-301·去离子旁路,Pipe028,39.0,26,73.0,53.0,1198.608,通过本次几何基线
主冷却液管路029｜DI-301·去离子旁路—CR-301·主液回流汇集,Pipe029,39.0,26,49.124,161.209,1078.24,通过本次几何基线
主冷却液管路015｜TV-301·余热分配三通—HX-301·双壁液液隔离,Pipe015,39.0,26,294.752,172.605,706.475,通过本次几何基线
主冷却液管路022｜CH-301·主液热供分配—HX-101·板翅空气调温器,Pipe022,39.0,26,436.534,46.189,1811.261,通过本次几何基线
主冷却液管路023｜HX-101·板翅空气调温器—CR-301·主液回流汇集,Pipe023,39.0,26,33.0,73.0,350.134,通过本次几何基线
储氢床冷却液管路032｜BR-401·床路回流阀组—P-401·床泵·15升/分钟,Pipe032,33.0,22,468.021,116.153,2137.446,通过本次几何基线
氢气管路060｜SEP-201·伴热阳极分水器—阳极吹扫排放接口,Pipe060,38.0,12,65.329,57.939,730.023,通过本次几何基线
氢气管路061｜REG-205·双级减压·切断·比例·止回—气瓶205安全放散接口,Pipe061,38.0,12,71.145,46.777,1078.634,通过本次几何基线
氢气管路054｜REG-206·双级减压·切断·比例·止回—HM-201·六路止回合流,Pipe054,38.0,12,37.885,68.033,772.969,通过本次几何基线
氢气管路006｜HM-201·六路止回合流—HX-201·双壁氢伴热器,Pipe006,38.0,12,97.303,63.125,1369.979,通过本次几何基线
氢气管路007｜HX-201·双壁氢伴热器—H2-201·低压缓冲计量切断,Pipe007,38.0,12,34.214,68.462,535.361,通过本次几何基线
氢气管路008｜H2-201·低压缓冲计量切断—STK-101·70节电堆·端板拉杆,Pipe008,38.0,12,69.473,180.295,1304.248,通过本次几何基线
氢气管路009｜STK-101·70节电堆·端板拉杆—SEP-201·伴热阳极分水器,Pipe009,38.0,12,140.756,316.092,1893.718,通过本次几何基线
氢气管路010｜SEP-201·伴热阳极分水器—HCP-201·湿氢循环泵,Pipe010,38.0,12,163.944,143.083,940.196,通过本次几何基线
氢气管路040｜XV/PCV/CV-202·床支路隔离比例止回—HM-201·六路止回合流,Pipe040,38.0,12,88.09,59.064,984.308,通过本次几何基线
氢气管路044｜XV/PCV/CV-203·床支路隔离比例止回—HM-201·六路止回合流,Pipe044,38.0,12,145.706,160.698,1153.719,通过本次几何基线
氢气管路048｜XV/PCV/CV-204·床支路隔离比例止回—HM-201·六路止回合流,Pipe048,38.0,12,33.0,37.0,723.064,通过本次几何基线
氢气管路011｜HCP-201·湿氢循环泵—H2-201·低压缓冲计量切断,Pipe011,38.0,12,75.783,146.685,1161.341,通过本次几何基线
储氢床冷却液管路038｜固态储氢模块（MH201）—BR-401·床路回流阀组,Pipe038,33.0,22,129.708,71.451,889.537,通过本次几何基线
储氢床冷却液管路041｜BS-401·床路选择阀组—固态储氢模块（MH202）,Pipe041,33.0,22,170.926,64.271,1310.238,通过本次几何基线
储氢床冷却液管路045｜BS-401·床路选择阀组—固态储氢模块（MH203）,Pipe045,33.0,22,45.126,98.697,1007.61,通过本次几何基线
储氢床冷却液管路046｜固态储氢模块（MH203）—BR-401·床路回流阀组,Pipe046,33.0,22,59.877,153.058,852.481,通过本次几何基线
储氢床冷却液管路050｜固态储氢模块（MH204）—BR-401·床路回流阀组,Pipe050,33.0,22,71.723,60.975,1569.681,通过本次几何基线
氢气管路051｜气态储氢瓶（GH205，35兆帕，概念容量22.174升）—REG-205·双级减压·切断·比例·止回,Pipe051,38.0,12,196.668,48.169,2642.314,通过本次几何基线
氢气管路053｜气态储氢瓶（GH206，35兆帕，概念容量22.174升）—REG-206·双级减压·切断·比例·止回,Pipe053,38.0,12,210.225,37.384,2327.985,通过本次几何基线
氢气管路039｜固态储氢模块（MH202）—XV/PCV/CV-202·床支路隔离比例止回,Pipe039,38.0,12,46.696,210.273,2092.448,通过本次几何基线
氢气管路043｜固态储氢模块（MH203）—XV/PCV/CV-203·床支路隔离比例止回,Pipe043,38.0,12,285.807,171.281,2029.564,通过本次几何基线
氢气管路047｜固态储氢模块（MH204）—XV/PCV/CV-204·床支路隔离比例止回,Pipe047,38.0,12,170.017,200.497,1837.879,通过本次几何基线
空气管路058｜AF-101·外界进气滤清器·双腔壳体—外界进气接口,Pipe058,69.0,46,297.809,102.454,1505.908,通过本次几何基线
空气管路004｜XV-101·空气截止与计量—STK-101·70节电堆·端板拉杆,Pipe004,69.0,46,473.451,192.364,2407.324,通过本次几何基线
空气管路005｜STK-101·70节电堆·端板拉杆—BPV-101·阴极背压阀,Pipe005,69.0,46,66.281,72.746,1781.077,通过本次几何基线
空气管路001｜AF-101·外界进气滤清器·双腔壳体—CP-101·独立轴向进风过渡接管,Pipe001,69.0,46,376.496,81.046,1320.814,通过本次几何基线
空气管路002｜CP-101·独立切向出风接管—HX-101·板翅空气调温器,Pipe002,69.0,46,111.312,141.409,1328.099,通过本次几何基线
空气管路003｜HX-101·板翅空气调温器—XV-101·空气截止与计量,Pipe003,69.0,46,234.965,95.989,1312.796,通过本次几何基线
主冷却液管路018｜R-301·侧水室与框架·前后通风—TK-301·独立主路膨胀罐,Pipe018,39.0,26,99.778,44.099,1846.012,通过本次几何基线
主冷却液管路025｜HX-201·双壁氢伴热器—CR-301·主液回流汇集,Pipe025,39.0,26,32.216,212.983,692.967,通过本次几何基线
主冷却液管路012｜P-301·主泵·30升/分钟—STK-101·70节电堆·端板拉杆,Pipe012,39.0,26,424.759,141.478,1774.579,通过本次几何基线
主冷却液管路020｜TV-302·散热旁通三通—CR-301·主液回流汇集,Pipe020,39.0,26,35.708,285.985,1097.795,通过本次几何基线
主冷却液管路026｜CH-301·主液热供分配—SEP-201·伴热阳极分水器,Pipe026,39.0,26,172.421,372.448,2635.992,通过本次几何基线
主冷却液管路027｜SEP-201·伴热阳极分水器—CR-301·主液回流汇集,Pipe027,39.0,26,350.939,256.785,2123.394,通过本次几何基线
主冷却液管路014｜CH-301·主液热供分配—TV-301·余热分配三通,Pipe014,39.0,26,72.325,54.572,435.483,通过本次几何基线
主冷却液管路021｜CR-301·主液回流汇集—P-301·主泵·30升/分钟,Pipe021,39.0,26,153.0,93.0,1192.044,通过本次几何基线
储氢床冷却液管路056｜REG-205·双级减压·切断·比例·止回—REG-206·双级减压·切断·比例·止回,Pipe056,33.0,22,71.067,43.606,941.77,通过本次几何基线
储氢床冷却液管路057｜REG-206·双级减压·切断·比例·止回—BR-401·床路回流阀组,Pipe057,33.0,22,82.808,126.816,1808.858,通过本次几何基线
储氢床冷却液管路055｜BS-401·床路选择阀组—REG-205·双级减压·切断·比例·止回,Pipe055,33.0,22,110.697,114.244,1173.003,通过本次几何基线
储氢床冷却液管路063｜TK-401·独立次路膨胀罐—储氢床回路加注接口,Pipe063,33.0,22,124.189,36.574,744.886,通过本次几何基线
储氢床冷却液管路030｜P-401·床泵·15升/分钟—HX-301·双壁液液隔离,Pipe030,33.0,22,278.524,180.583,1375.039,通过本次几何基线
储氢床冷却液管路037｜BS-401·床路选择阀组—固态储氢模块（MH201）,Pipe037,33.0,22,302.835,368.626,1825.681,通过本次几何基线
氢气管路062｜REG-206·双级减压·切断·比例·止回—气瓶206安全放散接口,Pipe062,38.0,12,123.566,98.694,1137.604,通过本次几何基线
氢气管路052｜REG-205·双级减压·切断·比例·止回—HM-201·六路止回合流,Pipe052,38.0,12,120.731,386.033,991.595,通过本次几何基线
储氢床冷却液管路031｜HX-301·双壁液液隔离—BS-401·床路选择阀组,Pipe031,33.0,22,219.116,70.692,1240.979,通过本次几何基线
储氢床冷却液管路049｜BS-401·床路选择阀组—固态储氢模块（MH204）,Pipe049,33.0,22,70.072,289.442,904.154,通过本次几何基线
氢气管路035｜固态储氢模块（MH201）—XV/PCV/CV-201·床支路隔离比例止回,Pipe035,38.0,12,578.576,215.978,2809.303,通过本次几何基线
储氢床冷却液管路033｜TK-401·独立次路膨胀罐—BR-401·床路回流阀组,Pipe033,33.0,22,37.0,37.0,1191.363,通过本次几何基线
储氢床冷却液管路042｜固态储氢模块（MH202）—BR-401·床路回流阀组,Pipe042,33.0,22,37.0,37.0,742.69,通过本次几何基线
氢气管路036｜XV/PCV/CV-201·床支路隔离比例止回—HM-201·六路止回合流,Pipe036,38.0,12,42.0,46.0,1340.903,通过本次几何基线
外界进气外接管,External_AIR_IN,81,54,32.0,44.0,203.235,通过本次几何基线
阴极排气外接管,External_AIR_OUT,81,54,32.0,34.0,193.235,通过本次几何基线
阳极吹扫排放外接管,External_PURGE,54,18,32.0,61.0,177.823,通过本次几何基线
储氢床回路加注外接管,External_BED_FILL,42,28,32.0,73.0,170.973,通过本次几何基线
气瓶205安全放散外接管,External_VENT205,54,18,32.0,332.0,537.646,通过本次几何基线
气瓶206安全放散外接管,External_VENT206,54,18,32.0,332.0,537.646,通过本次几何基线
